studyYear,studyName,locationName,plantingDate,harvestDate,germplasmName,germplasmGeneration,skinColor,observationUnitName,replicate,DAP,avgAirTempF,avgAirTempF_First30,avgRelHumid%,avgRelHumid%_First30,rawTotPrecipIn,avgDailyPrecipIn,calcTotPrecipIn,rawTotPrecipIn_First30,avgDailyPrecipIn_First30,calcTotalPrecipIn_First30, avgSoilTempF , avgSoilTempF_First30, avgSoilMoistm3m3,avgSoilMoistm3m3_First30,avgPltAvailWtrCm3, avgPltAvailWtrCm3_First30,avgPhotoActiveRadMicromolsm2,avgPhotoActiveRadMicromolsm2_First30,PltsHrv_plot ,US1_kgplot ,Can_kgplot ,Jum_kgplot  ,Cul_kgplot   ,Tot_kgplot   ,Com_kgplot
2008,08NCGT0008CUN,CUN,06/19/08,10/17/08,B63,2,,08NCGT0008CUN_1_1_B63_G2,1,120,74.3,78,79,73,16.45,0.15,18.11,1.95,0.09,2.66,78.3,82.5,0.208,0.177,0.063,0.03,165.32,264.2,25,12.27,2.04,2.83,21.29,38.44,17.14
2008,08NCGT0008CUN,CUN,06/19/08,10/17/08,B63,2,,08NCGT0008CUN_10_2_B63_G2,2,120,74.3,78,79,73,16.45,0.15,18.11,1.95,0.09,2.66,78.3,82.5,0.208,0.177,0.063,0.03,165.32,264.2,25,10.75,5.06,1.54,16.35,33.7,17.35
2008,08NCGT0008CUN,CUN,06/19/08,10/17/08,B63,2,,08NCGT0008CUN_18_3_B63_G2,3,120,74.3,78,79,73,16.45,0.15,18.11,1.95,0.09,2.66,78.3,82.5,0.208,0.177,0.063,0.03,165.32,264.2,25,12.06,6.17,3.63,10.82,32.68,21.86
2008,08NCGT0008CUN,CUN,06/19/08,10/17/08,B63,2,,08NCGT0008CUN_34_5_B63_G2,5,120,74.3,78,79,73,16.45,0.15,18.11,1.95,0.09,2.66,78.3,82.5,0.208,0.177,0.063,0.03,165.32,264.2,25,6.8,7.44,0,7.14,21.38,14.24
2008,08NCGT0008CUN,CUN,06/19/08,10/17/08,B63,2,,08NCGT0008CUN_45_6_B63_G2,6,120,74.3,78,79,73,16.45,0.15,18.11,1.95,0.09,2.66,78.3,82.5,0.208,0.177,0.063,0.03,165.32,264.2,25,5.76,1.25,0,13.15,20.16,7.01
2008,08NCGT0008HCR,HCR,06/24/08,10/06/08,B63,2,,08NCGT0008HCR_1_1_B63_G2,1,104,74.7,77.8,81,77,22.54,0.21,22.33,5.23,0.17,5.06,78.1,81.6,0.249,0.223,0.166,0.143,254.62,250.42,25,0.5,4.17,0,1.75,6.42,4.67
2008,08NCGT0008HCR,HCR,06/24/08,10/06/08,B63,2,,08NCGT0008HCR_11_2_B63_G2,2,104,74.7,77.8,81,77,22.54,0.21,22.33,5.23,0.17,5.06,78.1,81.6,0.249,0.223,0.166,0.143,254.62,250.42,25,0.88,6.92,0,1.02,8.82,7.8
2008,08NCGT0008HCR,HCR,06/24/08,10/06/08,B63,2,,08NCGT0008HCR_17_3_B63_G2,3,104,74.7,77.8,81,77,22.54,0.21,22.33,5.23,0.17,5.06,78.1,81.6,0.249,0.223,0.166,0.143,254.62,250.42,25,0,5.53,0,3.13,8.66,5.53
2008,08NCGT0008HCR,HCR,06/24/08,10/06/08,B63,2,,08NCGT0008HCR_29_4_B63_G2,4,104,74.7,77.8,81,77,22.54,0.21,22.33,5.23,0.17,5.06,78.1,81.6,0.249,0.223,0.166,0.143,254.62,250.42,25,0.36,3.58,0,16.05,20,3.95
2008,08NCGT0008HCR,HCR,06/24/08,10/06/08,B63,2,,08NCGT0008HCR_37_5_B63_G2,5,104,74.7,77.8,81,77,22.54,0.21,22.33,5.23,0.17,5.06,78.1,81.6,0.249,0.223,0.166,0.143,254.62,250.42,25,0.82,7.35,0,9.07,17.23,8.16
2008,08NCGT0008HCR,HCR,06/24/08,10/06/08,B63,2,,08NCGT0008HCR_43_6_B63_G2,6,104,74.7,77.8,81,77,22.54,0.21,22.33,5.23,0.17,5.06,78.1,81.6,0.249,0.223,0.166,0.143,254.62,250.42,25,2.45,7.6,0,6.19,16.24,10.05
2016,16OFYT0046JON,CUN,06/20/16,11/09/16,Beauregard,2,#f09151,B94-0014_G2-OFJONESPRC-OFJONES-2016--3-11,1,142,74.3,79.2,76,76,34.42,0.24,34.18,6.16,0.2,5.96,79.2,84.5,0.234,0.202,0.086,0.061,428.23,547,20,31.20768,0,0,6.07824,37.28592,31.20768
2016,16OFYT0046JON,CUN,06/20/16,11/09/16,Beauregard,2,#f09151,B94-0014_G2-OFJONESPRC-OFJONES-2016--7-6,1,142,74.3,79.2,76,76,34.42,0.24,34.18,6.16,0.2,5.96,79.2,84.5,0.234,0.202,0.086,0.061,428.23,547,20,10.79568,0,0,2.44944,13.24512,10.79568
2016,16PURP0020CUN,CUN,06/09/16,10/27/16,Beauregard,2,#f09151,B94-0014_G2-KPURPIG-CUNN-2016-1-2-9,1,140,75.8,77.9,76,71,34.29,0.24,34.05,3.91,0.13,3.78,80.7,82.9,0.234,0.187,0.086,0.046,456.32,567.99,20,,,,,,
2016,16PURP0020CUN,CUN,06/09/16,10/27/16,Beauregard,2,#f09151,B94-0014_G2-KPURPIG-CUNN-2016-2-4-9,2,140,75.8,77.9,76,71,34.29,0.24,34.05,3.91,0.13,3.78,80.7,82.9,0.234,0.187,0.086,0.046,456.32,567.99,20,57.28968,0,0,0,57.28968,57.28968
2016,16PURP0020CUN,CUN,06/09/16,10/27/16,Beauregard,2,#f09151,B94-0014_G2-KPURPIG-CUNN-2016-3-6-4,3,140,75.8,77.9,76,71,34.29,0.24,34.05,3.91,0.13,3.78,80.7,82.9,0.234,0.187,0.086,0.046,456.32,567.99,20,,,,,,
2016,16PURP0020CUN,CUN,06/09/16,10/27/16,Beauregard,2,#f09151,B94-0014_G2-KPURPIG-CUNN-2016-4-7-5,4,140,75.8,77.9,76,71,34.29,0.24,34.05,3.91,0.13,3.78,80.7,82.9,0.234,0.187,0.086,0.046,456.32,567.99,20,56.83608,0,0,0,56.83608,56.83608
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-1-2-5,1,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,,,,,,
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-1-2-6,1,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,60.87312,9.072,47.67336,11.15856,128.77704,117.61848
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-1-2-7,1,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,43.45488,4.85352,48.17232,4.0824,100.56312,96.48072
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-1-2-8,1,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,,,,,,
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-2-3-1,2,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,,,,,,
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-2-3-2,2,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,46.53936,7.84728,35.87976,9.48024,99.74664,90.2664
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-2-3-3,2,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,,,,,,
2016,16ADVT0008CUN,CUN,06/16/16,10/18/16,Beauregard,2,#f09151,B94-0014_G2-KADVYT-CUNN-2016-2-3-4,2,124,76.8,78.7,77,74,33.52,0.27,33.25,5.64,0.18,5.46,81.5,84,0.233,0.193,0.085,0.052,454.12,549.7,50,,,,,,
