"plot_name","trait","value","timestamp","person","location","number"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of storage roots after harvest per NET plot|CO_331:0000233","45","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of non-commercial storage roots per NET plot|CO_331:0000217","3","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Number of commercial storage roots per NET plot|CO_331:0000214","42","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Length to diameter ratio computation|CO_331:0000779","2.16","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Total storage root weight per NET plot in kg|CO_331:0000237","13.42","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of cull storage roots measuring kg per plot|CO_331:0000612","0.58","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of canner storage roots measuring kg per plot|CO_331:0000610","1.4","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","8.76","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","2.3","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","2.34","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","2.47","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","1.65","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","2.28","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","12.84","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","0.58","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00102_1_BayouBelle_G2","Percentage of commercial storage root|CO_331:0000682","95.67","2021-11-01 11:01:46","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of storage roots after harvest per NET plot|CO_331:0000233","48","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of non-commercial storage roots per NET plot|CO_331:0000217","3","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Number of commercial storage roots per NET plot|CO_331:0000214","45","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Length to diameter ratio computation|CO_331:0000779","2.02","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Total storage root weight per NET plot in kg|CO_331:0000237","11.86","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of cull storage roots measuring kg per plot|CO_331:0000612","1.26","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of canner storage roots measuring kg per plot|CO_331:0000610","2.03","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of total US no. 1 storage roots measuring kg per plot|CO_331:0000609","5.99","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 32 count US no. 1 storage roots measuring kg per plot|CO_331:0000616","0.52","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 40 count US no. 1 storage roots measuring kg per plot|CO_331:0000615","1.36","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 55 count US no. 1 storage roots measuring kg per plot|CO_331:0000614","1.21","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of 90 count US no. 1 storage roots measuring kg per plot|CO_331:0000613","2.9","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of jumbo storage roots measuring kg per plot|CO_331:0000611","2.59","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","10.61","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","1.26","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_00202_1_MC14-0377_AM2_G2","Percentage of commercial storage root|CO_331:0000682","89.41","2021-11-01 11:20:14","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Number of plants harvested per NET plot|CO_331:0000679","20","2021-11-01 11:22:20","Russell","HCR","1"
"21MC010024CUNA03_01107_4_MC18-0162","Number of storage roots after harvest per NET plot|CO_331:0000233","42","2021-11-01 11:22:20","Russell","HCR","1"
