"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",0,-70,72,57,0,0,0,0,7,18,12,0,0,0,0,354,0,67,111,0,0,0,131,12,234,189,0,0,0,0,3,0,3,5,0,1,157,301,0,0,0,0,"0x00906040",172,"0x00805030",104,"0x00a06040",100,"0x00b06040",62,"0x00b07050",56,"0x00c06040",48,"0x00a07040",45,"0x00905030",43,"0x00806040",42,"0x00b07040",37,"0x00a07050",34,"0x00905040",22,"0x00a05030",20,"0x00a06030",18,"0x00805040",16,"0x00b08050",16,"0x00907040",14,"0x00906030",13,"0x00a05040",10,"0x00806030",9,"11012021  11:00:07"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",27,16,12,56,0,0,0,0,19,27,8,0,0,0,0,30,0,61,103,0,0,0,292,153,528,195,0,0,0,0,3,0,3,5,0,1,218,552,0,0,0,0,"0x00b06040",157,"0x00a06040",80,"0x00b07040",67,"0x00a05030",64,"0x00c06040",60,"0x00c07050",49,"0x00905030",46,"0x00c07040",44,"0x00b07050",44,"0x00c08050",40,"0x00d07050",34,"0x00b05030",25,"0x00a05040",21,"0x00d07040",20,"0x00b05040",19,"0x00d08050",19,"0x00904030",16,"0x00805030",13,"0x00a06030",12,"0x00b08050",11,"11012021  11:00:14"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",27,22,7,47,0,0,0,0,535,165,33,0,0,0,0,104,0,63,119,0,0,0,369,381,786,221,0,0,0,0,3,0,3,5,0,1,101,617,0,0,0,0,"0x00a06040",89,"0x00b06040",80,"0x00905030",71,"0x00a05030",63,"0x00a05040",51,"0x00904030",39,"0x00a04030",34,"0x00804030",34,"0x00906040",27,"0x00b07040",27,"0x00805030",27,"0x00b05040",25,"0x00a07040",23,"0x00b07050",21,"0x00c06040",19,"0x00c08050",18,"0x00c07050",18,"0x00905040",15,"0x00b08050",13,"0x00c07040",12,"11012021  11:00:22"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",32,21,17,44,0,0,0,0,23,112,30,0,0,0,0,135,0,63,114,0,0,0,255,115,564,238,0,0,0,0,3,0,3,5,0,1,155,524,0,0,0,0,"0x00a06040",119,"0x00905030",64,"0x00a05030",63,"0x00b06040",62,"0x00904030",56,"0x00906040",55,"0x00b07050",48,"0x00804030",47,"0x00805030",41,"0x00a05040",37,"0x00b05030",37,"0x00905040",33,"0x00a04030",27,"0x00b05040",21,"0x00b07040",16,"0x00a07050",15,"0x00a07040",14,"0x00704030",12,"0x00804020",10,"0x00b06050",9,"11012021  11:00:31"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",37,20,17,48,0,0,0,0,132,64,20,0,0,0,0,67,0,62,104,0,0,0,216,65,466,229,0,0,0,0,3,0,3,5,0,1,228,544,0,0,0,0,"0x00b06040",87,"0x00a06040",86,"0x00d07050",72,"0x00b07040",58,"0x00905030",54,"0x00c07050",44,"0x00c06040",43,"0x00a05030",43,"0x00e07050",42,"0x00c08050",41,"0x00c07040",40,"0x00b07050",37,"0x00d06040",30,"0x00805030",27,"0x00d08050",22,"0x00d07040",19,"0x00e08050",19,"0x00f08050",14,"0x00a05040",14,"0x00906040",13,"11012021  11:00:32"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",29,21,9,48,0,0,0,0,15,43,13,0,0,0,0,170,0,64,102,0,0,0,211,58,440,228,0,0,0,0,3,0,3,5,0,1,166,449,0,0,0,0,"0x00a06040",127,"0x00c06040",74,"0x00b06040",65,"0x00b07050",62,"0x00d06040",52,"0x00905030",45,"0x00906040",43,"0x00b07040",38,"0x00a05030",32,"0x00b08050",28,"0x00c08050",27,"0x00c05040",24,"0x00a05040",20,"0x00a07050",20,"0x00905040",20,"0x00c07040",19,"0x00805030",19,"0x00d07040",19,"0x00a07040",18,"0x00b05040",17,"11012021  11:00:38"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",30,25,5,52,0,0,0,0,6,153,27,0,0,0,0,166,0,63,118,0,0,0,256,102,483,194,0,0,0,0,3,0,3,5,0,1,72,385,0,0,0,0,"0x00a06040",71,"0x00a05030",69,"0x00905030",64,"0x00904030",56,"0x00804030",54,"0x00906040",50,"0x00b05040",47,"0x00b07050",47,"0x00b06040",45,"0x00a07050",40,"0x00c06040",38,"0x00a05040",33,"0x00905040",33,"0x00805030",31,"0x00b08050",25,"0x00b05030",20,"0x00704030",17,"0x00a07040",16,"0x00b07040",13,"0x00a04030",11,"11012021  11:00:39"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",35,26,15,66,0,0,0,0,0,93,19,0,0,0,0,102,0,62,111,0,0,0,334,166,499,161,0,0,0,0,3,0,3,5,0,1,285,610,0,0,0,0,"0x00905030",124,"0x00a05030",113,"0x00a06040",64,"0x00b05030",62,"0x00904030",61,"0x00b06040",44,"0x00805030",36,"0x00906040",35,"0x00804030",34,"0x00a06030",28,"0x00b07040",24,"0x00b05040",22,"0x00a04030",21,"0x00c07040",19,"0x00a05040",19,"0x00b06030",18,"0x00c06040",18,"0x00a07040",18,"0x00804020",12,"0x00905040",11,"11012021  11:00:40"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",52,26,26,36,0,0,0,0,0,48,16,0,0,0,0,306,0,65,135,0,0,0,205,57,569,329,0,0,0,0,3,0,3,5,0,1,106,481,0,0,0,0,"0x00905040",113,"0x00906040",108,"0x00704030",78,"0x00a06040",77,"0x00804030",67,"0x00805030",66,"0x00805040",57,"0x00a05040",48,"0x00905030",34,"0x00b06040",33,"0x00a07050",32,"0x00705030",25,"0x00806040",19,"0x00904030",18,"0x00b07050",15,"0x00b08050",13,"0x00a08050",13,"0x00c08050",11,"0x00705040",10,"0x00b07040",9,"11012021  11:00:42"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",37,17,25,54,0,0,0,0,92,95,38,0,0,0,0,106,0,62,122,0,0,0,315,177,619,230,0,0,0,0,3,0,3,5,0,1,65,441,0,0,0,0,"0x00905030",140,"0x00a06040",111,"0x00805030",85,"0x00a05030",57,"0x00a05040",50,"0x00906040",46,"0x00905040",45,"0x00804030",41,"0x00904030",29,"0x00906030",26,"0x00804020",22,"0x00b06040",18,"0x00704020",18,"0x00a07040",17,"0x00b07040",16,"0x00603020",14,"0x00b07050",13,"0x00704030",13,"0x00a06030",11,"0x00703020",11,"11012021  11:00:46"
